image_name,date_taken
DJI_0256,2022-11-14
DJI_0344,2023-04-20
DJI_0345,2023-04-20
DJI_0346,2023-04-20
DJI_0347,2023-04-20
DJI_0348,2023-04-20
DJI_0349,2023-04-20
DJI_0350,2023-04-20
DJI_0351,2023-04-20
DJI_0352,2023-04-20
DJI_0353,2023-04-20
DJI_0354,2023-04-20
DJI_0355,2023-04-20
DJI_0356,2023-04-20
DJI_0357,2023-04-20
DJI_0358,2023-04-20
DJI_0359,2023-04-20
DJI_0360,2023-04-20
DJI_0361,2023-04-20
DJI_0362,2023-04-20
DJI_0363,2023-04-20
DJI_0364,2023-04-20
DJI_0365,2023-04-20
DJI_0366,2023-04-20
DJI_0367,2023-04-20
DJI_0368,2023-04-20
DJI_0369,2023-04-20
DJI_0370,2023-04-20
DJI_0371,2023-04-20
DJI_0372,2023-04-20
DJI_0373,2023-04-20
DJI_0374,2023-04-20
LL aerial1,2022-03-11
LL grass,2022-12-11
LL grass1 March 2023,2022-12-11
LL grass10 March 2023,2023-04-20
LL grass11 March 2023,2023-04-20
LL grass12 March 2023,2023-04-20
LL grass13 March 2023,2023-04-20
LL grass15 March 2023,2023-04-20
LL grass16 March 2023,2023-04-20
LL grass17 March 2023,2023-04-20
LL grass18 March 2023,2023-04-20
LL grass19 March 2023,2023-04-20
LL grass2 March 2023,2022-12-11
LL grass20 March 2023,2023-04-20
LL grass21 March 2023,2023-04-20
LL grass22 March 2023,2023-04-20
LL grass23 March 2023,2023-04-20
LL grass24 March 2023,2023-04-20
LL grass25 March 2023,2023-04-20
LL grass26 March 2023,2023-04-20
LL grass27 March 2023,2023-04-20
LL grass28 March 2023,2023-04-20
LL grass29 March 2023,2023-04-20
LL grass3 March 2023,2022-12-11
LL grass30 March 2023,2023-04-20
LL grass31 March 2023,2023-04-20
LL grass32 March 2023,2023-04-20
LL grass4 March 2023,2022-12-11
LL grass5 March 2023,2022-12-11
LL grass6 March 2023,2022-12-11
LL grass7 March 2023,2022-12-11
LL grass8 March 2023,2023-04-20
LL grass9 March 2023,2023-04-20
